method,hidden,seed,accuracy,modularity_Q,regularity_W1,regularity_W2,regularity_mean,erank_W1,erank_W2,erank_W1_norm,erank_W2_norm,robustness_auc_abs,robustness_auc_rel,weight_rms,dead_neuron_frac,si_mean,si_std,si_frac_high
GD,64,1,0.9753999710083008,0.16600841,0.06745754942602045,0.057421874999999956,0.0624397122130102,55.53307342529297,9.658775329589844,0.8677042722702026,0.9658775329589844,0.44363038671016697,0.9445591809749604,0.08119744569726706,0.03125,0.4601491442795389,0.16756327941549679,0.421875
GD,64,2,0.9757999777793884,0.16252786,0.06742765465561229,0.053906250000000044,0.06066695232780617,55.42936325073242,9.556900024414062,0.8660838007926941,0.9556900024414062,0.43017158842086795,0.9297961727380752,0.081238833251283,0.03125,0.4654119240565807,0.1649276909643994,0.453125
GD,64,3,0.9724999666213989,0.1667192,0.06719347895408168,0.055468749999999956,0.061331114477040816,55.26181411743164,9.515803337097168,0.8634658455848694,0.9515803337097168,0.42839518964290624,0.9124841780662536,0.0817506116786644,0.03125,0.4539871937363654,0.1659212951526161,0.390625
GD,64,4,0.9750999808311462,0.17026657,0.06778140943877553,0.055468749999999956,0.06162507971938774,55.724666595458984,9.576678276062012,0.8706979155540466,0.9576678276062012,0.43881438916921617,0.9246383706331254,0.0819930170452099,0.0,0.47673203281156074,0.163185587497346,0.484375
GD,128,0,0.9794999957084656,0.1702501,0.06797323421556123,0.0673828125,0.06767802335778061,102.99915313720703,9.684998512268066,0.8046808838844299,0.9684998512268066,0.42841739153862,0.9580969806909562,0.06715059599000804,0.03125,0.4697793362472818,0.18099679751153175,0.4453125
GD,128,1,0.98089998960495,0.1665377,0.06793835698341832,0.06855468750000004,0.06824652224170918,103.34007263183594,9.662951469421387,0.8073443174362183,0.9662951469421387,0.41807439053058626,0.9566167809963226,0.067867936854905,0.015625,0.48168151038527895,0.1601867846676634,0.4921875
GD,128,2,0.9785999655723572,0.16634762,0.0678885323660714,0.0625,0.0651942661830357,102.68731689453125,9.67954158782959,0.8022446632385254,0.967954158782959,0.42042899113893506,0.9632207788228989,0.06764816629148143,0.0234375,0.46776545757842236,0.1596229697568665,0.421875
GD,128,3,0.9793999791145325,0.17157221,0.0679931640625,0.06718749999999996,0.06759033203124998,102.9812240600586,9.665656089782715,0.8045408129692078,0.9665656089782715,0.4177723945975304,0.9565963709354399,0.06677904165826662,0.015625,0.47324008794059774,0.1722219368967984,0.4375
GD,128,4,0.9784999489784241,0.16051959,0.06822983099489799,0.06640625,0.067318040497449,102.84597778320312,9.640085220336914,0.8034842014312744,0.9640085220336914,0.4200567882657051,0.9602647715806962,0.06749078822342253,0.03125,0.46400262977021195,0.174516962561008,0.4140625
GD,256,0,0.9821999669075012,0.16916113,0.06957509566326525,0.07001953125000004,0.06979731345663265,193.85470581054688,9.72141170501709,0.7572449445724487,0.972141170501709,0.41054818987846375,0.9751073769330978,0.05351864879862014,0.03515625,0.47834369403684135,0.17871244950334284,0.4765625
GD,256,1,0.98089998960495,0.16570346,0.06936458665497447,0.07070312499999998,0.07003385582748722,193.8828125,9.732694625854492,0.757354736328125,0.9732694625854492,0.406602190554142,0.974245776295662,0.05373444602655515,0.03515625,0.49246520678556405,0.17727628282332902,0.53515625
